year ,gas CO,gas NOx,gas PM10,gas SOx,diesel CO,diesel NOx,diesel PM10,diesel Sox ,electric CO,electric NOx,electric PM10,electric Sox
1995,0.04,0.004,0,0,0.038,0.004,0,0,0.038,0.004,0,0
1997,0.036,0.003,0,0,0.033,0.003,0,0,0.033,0.003,0,0
1998,0.034,0.003,0,0,0.032,0.003,0,0,0.032,0.003,0,0
1999,0.028,0.002,0,0,0.026,0.002,0,0,0.026,0.002,0,0
2000,0.025,0.002,0,0,0.023,0.002,0,0,0.023,0.002,0,0
2001,0.016,0.001,0,0,0.016,0.001,0,0,0.016,0.001,0,0
2002,0.015,0.001,0,0,0.015,0.001,0,0,0.015,0.001,0,0
2003,0.015,0,0,0,0.014,0.001,0,0,0.014,0.001,0,0
2004,0.015,0,0,0,0.014,0.001,0,0,0.014,0.001,0,0
2005,0.015,0,0,0,0.014,0,0,0,0.014,0,0,0
2006,0.011,0,0,0,0.011,0,0,0,0.011,0,0,0
2007,0.011,0,0,0,0.011,0,0,0,0.011,0,0,0
2008,0.011,0,0,0,0.011,0,0,0,0.011,0,0,0
2009,0.011,0,0,0,0.011,0,0,0,0.011,0,0,0
2010,0.011,0,0,0,0.011,0,0,0,0.011,0,0,0
2011,0.008,0,0,0,0.008,0,0,0,0.008,0,0,0
2012,0.008,0,0,0,0.008,0,0,0,0.008,0,0,0
2013,0.007,0,0,0,0.007,0,0,0,0.007,0,0,0
2014,0.007,0,0,0,0.007,0,0,0,0.007,0,0,0
2015,0.005,0,0,0,0.005,0,0,0,0.005,0,0,0
2016,0.005,0,0,0,0.005,0,0,0,0.005,0,0,0
2017,0.002,0,0,0,0.003,0,0,0,0.003,0,0,0
2018,0.002,0,0,0,0.002,0,0,0,0.002,0,0,0
2019,0.002,0,0,0,0.002,0,0,0,0.002,0,0,0
2020,0.002,0,0,0,0.002,0,0,0,0.002,0,0,0
